player,date_of_birth,pronounced,height_inches,height_meters,weight_lbs,hand,backhand,pro_date,retire_date,pro_year,retire_year,birthplace,birth_city,birth_state,birth_country,primary_residence,primary_city,primary_state,primary_country,secondary_residence,secondary_city,secondary_state,secondary_country,player_url,ytd_wta_singles_titles,career_wta_singles_titles,ytd_wta_doubles_titles,career_wta_doubles_titles,ytd_itf_singles_titles,career_itf_singles_titles,ytd_itf_doubles_titles,career_itf_doubles_titles,ytd_prize_money,career_prize_money,ytd_wl_singles,career_wl_singles,ytd_wl_doubles,career_wl_doubles,ytd_singles_wins,ytd_singles_losses,career_singles_wins,career_singles_losses,ytd_doubles_wins,ytd_doubles_losses,career_doubles_wins,career_doubles_losses,tour,date_data,bmi
Clare Wood,3/8/68,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8870/title/clare-wood,NA,0,NA,1,NA,1,NA,6,0,564182,NA,212-223,NA,156-186,NA,NA,212,223,NA,NA,156,186,WTA,8/5/14,NA
Clarisa Fernandez,8/28/81,cla-REE-sah fair-NAN-dez,61,1.7,139,L,two,1998,2008,1998,2008,"Cí_rdoba, Argentina",Cí_rdoba,,Argentina,"Cí_rdoba, Argentina",Cí_rdoba,,Argentina,,,,,http://www.wtatennis.com/players/player/2610/title/clarisa-fernandez,NA,0,NA,0,NA,7,NA,6,0,676684,NA,228-130,NA,75-48,NA,NA,228,130,NA,NA,75,48,WTA,8/5/14,26.26095136
Claudia Kohde-Kilsch,12/11/63,NA,73,1.8,150,R,,1-Jan-80,1994,1980,1994,"Saarbruecken, Germany",Saarbruecken,,Germany,"Monte Carlo, Monaco",Monte Carlo,,Monaco,,,,,http://www.wtatennis.com/players/player/3979/title/claudia-kohde-kilsch,NA,8,NA,25,NA,0,NA,1,0,2035385,NA,408-244,NA,398-154,NA,NA,408,244,NA,NA,398,154,WTA,8/5/14,19.78795271
Claudia Porwik,11/14/68,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6205/title/claudia-porwik,NA,0,NA,6,NA,3,NA,1,0,700587,NA,195-191,NA,157-151,NA,NA,195,191,NA,NA,157,151,WTA,8/5/14,NA
Claudine Schaul,8/20/83,klow-DEEN showl,66,1.6,137,R,two,2002,NA,2002,NA,"Luxembourg City, Luxembourg",Luxembourg City,,Luxembourg,"Garnich, Luxembourg",Garnich,,Luxembourg,,,,,http://www.wtatennis.com/players/player/7931/title/claudine-schaul,NA,1,NA,1,NA,4,NA,3,0,542186,NA,304-293,NA,81-110,NA,NA,304,293,NA,NA,81,110,WTA,8/5/14,22.10996327
Coco Vandeweghe,12/6/91,NA,73,1.8,155,R,two,8-Apr,NA,2008,NA,"New York City, NY, USA",New York City,New York,USA,"Rancho Santa Fe, CA, USA",Rancho Santa Fe,California,USA,,,,,http://www.wtatennis.com/players/player/13656/title/coco-vandeweghe,1,1,0,0,0,2,0,5,264433,1006908,21-14,183-144,4-Jan,45-43,21,14,183,144,1,4,45,43,WTA,8/5/14,20.44755114
Conchita Martinez,4/16/72,con-CHEE-tah mar-TEE-nez,67,1.7,130,R,,Feb-88,6-Apr,1988,2006,"Huesca, Spain",Huesca,,Spain,"Barcelona, Spain",Barcelona,,Spain,"San Diego, California, USA",San Diego,California,USA,http://www.wtatennis.com/players/player/5063/title/conchita-martinez,NA,33,NA,13,NA,3,NA,2,0,11527977,NA,739-297,NA,414-232,NA,NA,739,297,NA,NA,414,232,WTA,8/5/14,20.35865449
Conchita Martinez Granados,1/20/76,con-CHEE-tah mar-TEE-nez grah-NAH-doss,67,1.7,134,R,two,NA,NA,NA,NA,"Barcelona, Spain",Barcelona,,Spain,"Barcelona, Spain",Barcelona,,Spain,,,,,http://www.wtatennis.com/players/player/5343/title/conchita-martinez-granados,NA,0,NA,0,NA,12,NA,17,0,618599,NA,376-283,NA,244-206,NA,NA,376,283,NA,NA,244,206,WTA,8/5/14,20.98507463
Corina Morariu,1/26/78,ko-REE-nah mo-RAR-yoo,68,1.7,130,R,,NA,NA,NA,NA,"Detroit, Michigan, USA",Detroit,Michigan,USA,"Boca Raton, Florida, USA",Boca Raton,Florida,USA,,,,,http://www.wtatennis.com/players/player/5433/title/corina-morariu,NA,1,NA,13,NA,5,NA,9,0,1733916,NA,160-134,NA,248-158,NA,NA,160,134,NA,NA,248,158,WTA,8/5/14,19.76427336
Cristina Tessi,7/20/72,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8126/title/cristina-tessi,NA,0,NA,0,NA,3,NA,0,0,130417,NA,93-90,NA,21-31,NA,NA,93,90,NA,NA,21,31,WTA,8/5/14,NA
Cristina Torrens Valero,9/12/74,kris-TEE-nah TOR-ens va-LAIR-oh,67,1.7,132,R,two,NA,NA,NA,NA,"Pamplona, Spain",Pamplona,,Spain,"Valencia, Spain",Valencia,,Spain,,,,,http://www.wtatennis.com/players/player/8223/title/cristina-torrens-valero,NA,2,NA,2,NA,6,NA,5,0,1000722,NA,309-292,NA,102-143,NA,NA,309,292,NA,NA,102,143,WTA,8/5/14,20.67186456
Csilla Bartos,3/29/66,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/1185/title/csilla-bartos,NA,0,NA,0,NA,2,NA,0,0,110344,NA,91-82,NA,18-29,NA,NA,91,82,NA,NA,18,29,WTA,8/5/14,NA
Daja Bedanova,3/9/83,NA,67,1.7,119,R,two,2000,2005,2000,2005,"Ostrava, Czech Republic",Ostrava,,Czech Republic,"Olomouc, Czech Republic",Olomouc,,Czech Republic,,,,,http://www.wtatennis.com/players/player/898/title/daja-bedanova,NA,1,NA,1,NA,1,NA,2,0,902005,NA,138-109,NA,59-64,NA,NA,138,109,NA,NA,59,64,WTA,8/5/14,18.63599911
Dally Randriantefy,2/23/77,ran-dree-an-TEFF-ee,65,1.6,132,R,two,1994,NA,1994,NA,"Antananarivo, Madagascar",Antananarivo,,Madagascar,"Antananarivo, Madagascar",Antananarivo,,Madagascar,,,,,http://www.wtatennis.com/players/player/6931/title/dally-randriantefy,NA,0,NA,0,NA,7,NA,3,0,663958,NA,319-206,NA,41-44,NA,NA,319,206,NA,NA,41,44,WTA,8/5/14,21.9635503
Dana Gilbert,11/26/59,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2805/title/dana-gilbert,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,WTA,8/5/14,NA
Daniela Hantuchova,4/23/83,NA,61,1.8,137,R,two,May-99,NA,1999,NA,"Poprad, Slovakia",Poprad,,Slovakia,"Monte Carlo, Monaco",Monte Carlo,,Monaco,,,,,http://www.wtatennis.com/players/player/3589/title/daniela-hantuchova,0,6,0,9,0,3,0,1,407100,9707570,13-17,525-358,11-Jul,276-216,13,17,525,358,7,11,276,216,WTA,8/5/14,25.88309594
Danielle Jones,3/4/69,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/3793/title/danielle-jones,NA,0,NA,0,NA,0,NA,14,0,142204,NA,92-145,NA,151-154,NA,NA,92,145,NA,NA,151,154,WTA,8/5/14,NA
Dawn Buth,5/29/76,NA,63,1.6,125,R,two,NA,NA,NA,NA,"Wichita, Kansas, USA",Wichita,Kansas,USA,"Riverdale, New York, USA",Riverdale,New York,USA,,,,,http://www.wtatennis.com/players/player/721/title/dawn-buth,NA,0,NA,0,NA,2,NA,10,0,145610,NA,106-80,NA,111-75,NA,NA,106,80,NA,NA,111,75,WTA,8/5/14,22.14033762
Debbie Graham,8/25/70,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2719/title/debbie-graham,NA,0,NA,5,NA,1,NA,8,0,862123,NA,175-160,NA,206-163,NA,NA,175,160,NA,NA,206,163,WTA,8/5/14,NA
Debbie Spence,8/9/67,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7305/title/debbie-spence,NA,0,NA,0,NA,2,NA,0,0,96670,NA,59-54,NA,10-Mar,NA,NA,59,54,NA,NA,3,10,WTA,8/5/14,NA
Denisa Chladkova,2/8/79,de-NEE-sah KLAD-ko-vuh,68,1.7,115,R,,1997,NA,1997,NA,"Prague, Czech Republic",Prague,,Czech Republic,"Prague, Czech Republic",Prague,,Czech Republic,,,,,http://www.wtatennis.com/players/player/1507/title/denisa-chladkova,NA,0,NA,0,NA,7,NA,4,0,1343285,NA,303-246,NA,52-61,NA,NA,303,246,NA,NA,52,61,WTA,8/5/14,17.48378028
Dianne Fromholtz,8/10/56,NA,65,1.6,130,L,,1973,1990,1973,1990,"Albury, Australia",Albury,,Australia,"Sydney, Australia",Sydney,,Australia,,,,,http://www.wtatennis.com/players/player/384/title/dianne-fromholtz-balestrat,NA,0,NA,0,NA,0,NA,0,0,222017,NA,82-70,NA,24-46,NA,NA,82,70,NA,NA,24,46,WTA,8/5/14,21.63076923
Dinah Pfizenmaier,1/13/92,NA,67,1.7,139,R,two,NA,NA,NA,NA,"Bielefeld, Germany",Bielefeld,,Germany,"Kamen, Germany",Kamen,,Germany,,,,,http://www.wtatennis.com/players/player/15569/title/dinah-pfizenmaier,0,0,0,0,0,9,1,2,159220,412126,17-19,150-84,4-Jun,26-24,17,19,150,84,6,4,26,24,WTA,8/5/14,21.7680998
Dinara Safina,4/27/86,NA,61,1.8,154,R,two,2000,NA,2000,NA,"Moscow, Russia",Moscow,,Russia,"Monte Carlo, Monaco",Monte Carlo,,Monaco,,,,,http://www.wtatennis.com/players/player/8108/title/dinara-safina,NA,12,NA,9,NA,4,NA,3,0,10585640,NA,360-173,NA,181-91,NA,NA,360,173,NA,NA,181,91,WTA,8/5/14,29.09486697
Dinky Van Rensburg,3/4/68,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8578/title/dinky-van-rensburg,NA,1,NA,3,NA,2,NA,2,0,386370,NA,176-121,NA,112-90,NA,NA,176,121,NA,NA,112,90,WTA,8/5/14,NA
Dominika Cibulkova,5/6/89,NA,63,1.6,121,R,two,2004,NA,2004,NA,"Bratislava, Slovakia",Bratislava,,Slovakia,"Bratislava, Slovakia",Bratislava,,Slovakia,,,,,http://www.wtatennis.com/players/player/12135/title/dominika-cibulkova,1,4,0,0,0,2,0,0,1823199,6087445,28-15,315-203,3-Jan,42-66,28,15,315,203,1,3,42,66,WTA,8/5/14,21.43184681
Dominique Monami,5/31/73,NA,67,1.7,122,R,,Jun-91,Oct-00,1991,2000,"Verviers, Belgium",Verviers,,Belgium,"Leuven, Belgium",Leuven,,Belgium,,,,,http://www.wtatennis.com/players/player/5216/title/dominique-monami,NA,4,NA,4,NA,7,NA,1,0,2015702,NA,295-182,NA,126-123,NA,NA,295,182,NA,NA,126,123,WTA,8/5/14,19.10581421
Donna Faber,7/5/71,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2334/title/donna-faber,NA,0,NA,0,NA,0,NA,0,0,319367,NA,116-129,NA,Nov-47,NA,NA,116,129,NA,NA,11,47,WTA,8/5/14,NA
Donna Vekic,6/28/96,NA,61,1.7,141,R,two,NA,NA,NA,NA,"Osijek, Croatia",Osijek,,Croatia,"Monte Carlo, Monaco",Monte Carlo,,Monaco,,,,,http://www.wtatennis.com/players/player/18104/title/donna-vekic,1,1,0,0,0,4,0,1,256286,545819,14-13,99-48,0-4,9-Apr,14,13,99,48,0,4,4,9,WTA,8/5/14,26.63880677
Duk Hee Lee,7/13/53,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/4619/title/duk-hee-lee,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,WTA,8/5/14,NA
Edina Gallovits-Hall,12/10/84,NA,65,1.6,117,R,two,1999,NA,1999,NA,"Timisoara, Romania",Timisoara,,Romania,"Atlanta, GA, USA",Atlanta,Georgia,USA,,,,,http://www.wtatennis.com/players/player/3143/title/edina-gallovits-hall,NA,0,NA,3,NA,18,NA,9,0,1225667,NA,396-248,NA,156-131,NA,NA,396,248,NA,NA,156,131,WTA,8/5/14,19.46769231
Ekaterina Bychkova,6/5/85,NA,66,1.7,130,R,two,2000,NA,2000,NA,"Moscow, Russia",Moscow,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/1082/title/ekaterina-bychkova,0,0,0,0,1,10,0,5,40257,922614,22-14,357-289,10-Dec,131-153,22,14,357,289,12,10,131,153,WTA,8/5/14,20.98025712
Ekaterina Makarova,6/7/88,NA,61,1.8,143,L,two,4-Oct,NA,2004,NA,"Moscow, Russia",Moscow,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/10895/title/ekaterina-makarova,1,2,0,5,0,3,0,9,1030800,5425101,27-12,325-216,15-11,226-132,27,12,325,216,15,11,226,132,WTA,8/5/14,27.01666219
Elena Baltacha,8/14/83,NA,69,1.7,154,R,two,1997,18-Nov-13,1997,2013,"Kiev, Ukraine",Kiev,,Ukraine,"Ipswich, England",Ipswich,,England,,,,,http://www.wtatennis.com/players/player/932/title/elena-baltacha,NA,0,NA,0,NA,11,NA,4,0,1190893,NA,324-243,NA,59-59,NA,NA,324,243,NA,NA,59,59,WTA,8/5/14,22.73934047
Elena Bovina,3/10/83,NA,74,1.8,159,R,two,NA,NA,NA,NA,"Moscow, Russia",Moscow,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/1118/title/elena-bovina,NA,3,NA,5,NA,8,NA,11,0,1987023,NA,390-232,NA,167-100,NA,NA,390,232,NA,NA,167,100,WTA,8/5/14,20.41216216
Elena Bryukhovets,6/8/71,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/487/title/elena-bryukhovets,NA,0,NA,3,NA,4,NA,14,0,386215,NA,149-124,NA,132-90,NA,NA,149,124,NA,NA,132,90,WTA,8/5/14,NA
Elena Dementieva,10/15/81,YELL-e-nuh de-MENT-ye-vuh,61,1.8,141,R,two,25-Aug-98,29-Oct-10,1998,2010,"Moscow, Russia",Moscow,,Russia,"Monte Carlo, Monaco",Monte Carlo,,Monaco,,,,,http://www.wtatennis.com/players/player/2018/title/elena-dementieva,NA,16,NA,6,NA,3,NA,3,0,14867437,NA,576-273,NA,152-86,NA,NA,576,273,NA,NA,152,86,WTA,8/5/14,26.63880677
Elena Likhovtseva,9/8/75,e-LAY-nah lee-HOFF-seh-vuh,68,1.7,132,R,two,Jan-92,NA,1992,NA,"Alma-Ata, Kazakhstan",Alma-Ata,,Kazakhstan,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/4663/title/elena-likhovtseva,NA,3,NA,27,NA,2,NA,7,0,6237556,NA,433-372,NA,526-314,NA,NA,433,372,NA,NA,526,314,WTA,8/5/14,20.0683391
Elena Makarova,2/1/73,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/5222/title/elena-makarova,NA,0,NA,1,NA,6,NA,6,0,594200,NA,178-128,NA,73-67,NA,NA,178,128,NA,NA,73,67,WTA,8/5/14,NA
Elena Tatarkova,8/22/76,NA,67,1.7,146,L,two,12-May-93,NA,1993,NA,"Dushanbe, Tadijkistan",Dushanbe,,Tadijkistan,"Kiev, Ukraine",Kiev,,Ukraine,,,,,http://www.wtatennis.com/players/player/8293/title/elena-tatarkova,NA,0,NA,4,NA,4,NA,25,0,862005,NA,300-237,NA,302-176,NA,NA,300,237,NA,NA,302,176,WTA,8/5/14,22.86433504
Elena Vesnina,8/1/86,NA,67,1.7,143,R,two,2002,NA,2002,NA,"Lvov, Ukraine",Lvov,,Ukraine,"Sochi, Russia",Sochi,,Russia,,,,,http://www.wtatennis.com/players/player/10548/title/elena-vesnina,0,2,0,10,0,2,0,6,524171,5510243,14-14,322-249,16-10,278-168,14,14,322,249,16,10,278,168,WTA,8/5/14,22.39451994
Elena Wagner,5/17/72,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6263/title/elena-wagner,NA,1,NA,3,NA,12,NA,8,0,704882,NA,243-179,NA,163-146,NA,NA,243,179,NA,NA,163,146,WTA,8/5/14,NA
Eleni Daniilidou,9/19/82,NA,61,1.8,158,R,one,1996,NA,1996,NA,"Hania, Crete, Greece",Hania,Crete,Greece,"Thessaloniki, Greece",Thessaloniki,,Greece,,,,,http://www.wtatennis.com/players/player/2042/title/eleni-daniilidou,0,5,0,3,0,11,0,14,30719,2911536,14-Sep,455-361,13-11,271-259,9,14,455,361,13,11,271,259,WTA,8/5/14,29.8505778
Elina Svitolina,9/12/94,NA,69,1.7,132,R,two,2010,NA,2010,NA,"Odessa, Ukraine",Odessa,,Ukraine,"Kharkiv, Ukraine",Kharkiv,,Ukraine,,,,,http://www.wtatennis.com/players/player/15788/title/elina-svitolina,1,3,1,1,0,6,0,2,406464,846341,25-17,137-85,4-May,37-36,25,17,137,85,5,4,37,36,WTA,8/5/14,19.49086326
Elise Burgin,3/5/62,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/466/title/elise-burgin,NA,1,NA,10,NA,0,NA,0,0,750831,NA,158-194,NA,282-165,NA,NA,158,194,NA,NA,282,165,WTA,8/5/14,NA
Elizabeth Minter,8/23/65,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/5025/title/elizabeth-minter,NA,0,NA,0,NA,1,NA,0,0,123934,NA,72-80,NA,32-67,NA,NA,72,80,NA,NA,32,67,WTA,8/5/14,NA
Elizabeth Smylie,4/11/63,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7291/title/elizabeth-smylie,NA,2,NA,32,NA,0,NA,4,0,1615247,NA,181-213,NA,483-215,NA,NA,181,213,NA,NA,483,215,WTA,8/5/14,NA
Elly Hakami,8/25/69,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/3199/title/elly-hakami,NA,1,NA,0,NA,3,NA,7,0,232705,NA,121-123,NA,91-100,NA,NA,121,123,NA,NA,91,100,WTA,8/5/14,NA
Elna Reinach,12/2/68,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6725/title/elna-reinach,NA,1,NA,10,NA,5,NA,5,0,1096356,NA,248-196,NA,278-168,NA,NA,248,196,NA,NA,278,168,WTA,8/5/14,NA
Els Callens,8/20/70,NA,61,1.7,132,R,two,Jan-90,NA,1990,NA,"Antwerp, Belgium",Antwerp,,Belgium,"Antwerp, Belgium",Antwerp,,Belgium,,,,,http://www.wtatennis.com/players/player/1128/title/els-callens,NA,0,NA,10,NA,11,NA,10,0,1666023,NA,358-309,NA,315-224,NA,NA,358,309,NA,NA,315,224,WTA,8/5/14,24.9384574
Emanuela Zardo,4/24/70,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/9246/title/emanuela-zardo,NA,1,NA,0,NA,10,NA,0,0,399887,NA,229-175,NA,22-73,NA,NA,229,175,NA,NA,22,73,WTA,8/5/14,NA
Emilie Loit,6/9/79,lwah,65,1.6,134,L,two,1994,NA,1994,NA,"Cherbourg, France",Cherbourg,,France,"Boulogne Billancourt, France",Boulogne Billancourt,,France,,,,,http://www.wtatennis.com/players/player/4788/title/emilie-loit,NA,3,NA,16,NA,7,NA,5,0,2121660,NA,375-302,NA,265-177,NA,NA,375,302,NA,NA,265,177,WTA,8/5/14,22.29633136
Emma Laine,3/26/86,LIE-nuh,65,1.6,127,L,two,2004,NA,2004,NA,"Karlstad, Sweden",Karlstad,,Sweden,"Helsinki, Finland",Helsinki,,Finland,,,,,http://www.wtatennis.com/players/player/9596/title/emma-laine,0,0,0,0,1,8,3,34,4923,483890,16-8,245-182,23-7,234-122,16,8,245,182,23,7,234,122,WTA,8/5/14,21.13159763
Emmanuelle Gagliardi,7/9/76,gah-lee-AR-di,67,1.7,130,R,two,1994,NA,1994,NA,"Geneva, Switzerland",Geneva,,Switzerland,"Monte Carlo, Monaco",Monte Carlo,,Monaco,,,,,http://www.wtatennis.com/players/player/2919/title/emmanuelle-gagliardi,NA,0,NA,4,NA,8,NA,6,0,1739751,NA,391-342,NA,194-184,NA,NA,391,342,NA,NA,194,184,WTA,8/5/14,20.35865449
Erika De Lone,10/14/72,NA,67,1.7,134,R,two,9-Jun-92,NA,1992,NA,"Boston, Massachusetts, USA",Boston,Massachusetts,USA,"Lincoln, Massachusetts, USA",Lincoln,Massachusetts,USA,,,,,http://www.wtatennis.com/players/player/1861/title/erika-de-lone,NA,0,NA,1,NA,9,NA,9,0,766020,NA,345-296,NA,170-190,NA,NA,345,296,NA,NA,170,190,WTA,8/5/14,20.98507463
Estrella Cabeza Candela,2/20/87,NA,68,1.7,141,R,two,NA,NA,NA,NA,"Sevilla, Spain",Sevilla,,Spain,"Valencia, Spain",Valencia,,Spain,,,,,http://www.wtatennis.com/players/player/10561/title/estrella-cabeza-candela,0,0,0,0,0,8,0,7,71437,458251,13-Dec,347-243,0-2,111-107,12,13,347,243,0,2,111,107,WTA,8/5/14,21.43663495
Etsuko Kaneshiro,10/18/64,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/3664/title/etsuko-kaneshiro,NA,0,NA,0,NA,0,NA,0,0,216556,NA,95-105,NA,20-36,NA,NA,95,105,NA,NA,20,36,WTA,8/5/14,NA
Eugenia Maniokova,5/17/68,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/4964/title/eugenia-maniokova,NA,0,NA,4,NA,3,NA,20,0,429742,NA,154-116,NA,187-92,NA,NA,154,116,NA,NA,187,92,WTA,8/5/14,NA
Eugenie Bouchard,2/25/94,NA,61,1.7,134,R,two,NA,NA,NA,NA,"Montrí©al, Canada",Montrí©al,,Canada,"Montrí©al, Canada",Montrí©al,,Canada,,,,,http://www.wtatennis.com/players/player/15218/title/eugenie-bouchard,1,1,0,0,0,6,0,1,2611807,3116913,36-14,160-85,3-Feb,38-40,36,14,160,85,2,3,38,40,WTA,8/5/14,25.31631282
Eva Bes,1/14/73,NA,67,1.7,128,R,two,NA,NA,NA,NA,"Zaragoza, Spain",Zaragoza,,Spain,"Zaragoza, Spain",Zaragoza,,Spain,,,,,http://www.wtatennis.com/players/player/581/title/eva-bes,NA,0,NA,0,NA,6,NA,29,0,387864,NA,295-224,NA,248-142,NA,NA,295,224,NA,NA,248,142,WTA,8/5/14,20.04544442
Eva Birnerova,8/14/84,NA,67,1.7,130,R,two,2002,NA,2002,NA,"Duchcov, Czech Republic",Duchcov,,Czech Republic,"Plzen, Czech Republic",Plzen,,Czech Republic,,,,,http://www.wtatennis.com/players/player/972/title/eva-birnerova,0,0,0,3,0,8,1,11,26396,1130615,18-Oct,333-305,6-May,181-197,10,18,333,305,5,6,181,197,WTA,8/5/14,20.35865449
Eva Dyrberg,2/17/80,NA,69,1.7,132,R,two,Jul-99,NA,1999,NA,"Copenhagen, Denmark",Copenhagen,,Denmark,"Copenhagen, Denmark",Copenhagen,,Denmark,,,,,http://www.wtatennis.com/players/player/2022/title/eva-dyrberg,NA,0,NA,0,NA,4,NA,5,0,225828,NA,140-95,NA,61-63,NA,NA,140,95,NA,NA,61,63,WTA,8/5/14,19.49086326
Eva Fislova,3/17/81,AY-vuh FISS-lo-vuh,61,1.8,143,R,two,NA,NA,NA,NA,"Bystrica, Slovakia",Bystrica,,Slovakia,"Bystrica, Slovakia",Bystrica,,Slovakia,,,,,http://www.wtatennis.com/players/player/2620/title/eva-fislova,NA,0,NA,0,NA,1,NA,6,0,181687,NA,203-192,NA,120-106,NA,NA,203,192,NA,NA,120,106,WTA,8/5/14,27.01666219
Eva Krapl,1/16/66,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/3991/title/eva-krapl,NA,0,NA,0,NA,0,NA,0,0,123645,NA,74-100,NA,28-68,NA,NA,74,100,NA,NA,28,68,WTA,8/5/14,NA
Eva Martincova,3/4/75,NA,67,1.7,122,R,two,1993,NA,1993,NA,"Brno, Czech Republic",Brno,,Czech Republic,"Brno, Czech Republic",Brno,,Czech Republic,,,,,http://www.wtatennis.com/players/player/5259/title/eva-martincova,NA,0,NA,1,NA,1,NA,16,0,326219,NA,194-185,NA,218-163,NA,NA,194,185,NA,NA,218,163,WTA,8/5/14,19.10581421
Eva Pfaff,2/10/61,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6187/title/eva-pfaff,NA,0,NA,5,NA,1,NA,4,0,767709,NA,186-216,NA,278-194,NA,NA,186,216,NA,NA,278,194,WTA,8/5/14,NA
Eva Sviglerova,7/13/71,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7349/title/eva-sviglerova,NA,1,NA,1,NA,5,NA,0,0,278084,NA,114-89,NA,45-78,NA,NA,114,89,NA,NA,45,78,WTA,8/5/14,NA
Evgenia Kulikovskaya,12/21/78,NA,64,1.6,128,A,,1994,NA,1994,NA,"Moscow, Russia",Moscow,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/4211/title/evgenia-kulikovskaya,NA,0,NA,4,NA,9,NA,12,0,427801,NA,221-175,NA,197-148,NA,NA,221,175,NA,NA,197,148,WTA,8/5/14,21.96875
Evgenia Linetskaya,11/30/86,ev-GEN-yuh lee-NET-sky-ah,69,1.7,132,R,two,NA,NA,NA,NA,"Moscow, Russia",Moscow,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/9682/title/evgenia-linetskaya,NA,0,NA,0,NA,7,NA,1,0,333645,NA,117-56,NA,13-19,NA,NA,117,56,NA,NA,13,19,WTA,8/5/14,19.49086326
Evgeniya Rodina,2/4/89,ev-GEN-yuh ROD-e-nuh,67,1.7,132,R,two,2004,NA,2004,NA,"Moscow, Russia",Moscow,,Russia,"Moscow, Russia",Moscow,,Russia,,,,,http://www.wtatennis.com/players/player/11831/title/evgeniya-rodina,0,0,0,0,1,8,0,6,23951,655998,27-12,272-178,13-7,114-79,27,12,272,178,13,7,114,79,WTA,8/5/14,20.67186456
Evie Dominikovic,5/29/80,EE-vee do-mi-NEE-ko-vich,68,1.7,143,R,two,1-Feb-97,NA,1997,NA,"Sydney, Australia",Sydney,,Australia,"Sydney, Australia",Sydney,,Australia,,,,,http://www.wtatennis.com/players/player/1999/title/evie-dominikovic,NA,0,NA,1,NA,12,NA,16,0,638461,NA,290-212,NA,180-144,NA,NA,290,212,NA,NA,180,144,WTA,8/5/14,21.74070069
Evonne Goolagong Cawley,7/31/51,NA,66,1.6,130,R,,NA,1983,NA,1983,"Griffith, New South Wales, Australia",Griffith,New South Wales,Australia,Australia,,,Australia,,,,,http://www.wtatennis.com/players/player/2794/title/evonne-goolagong-cawley,NA,68,NA,11,NA,12,NA,11,0,1421731,NA,704-165,NA,18-16,NA,NA,704,165,NA,NA,18,16,WTA,8/5/14,20.98025712
