"player","country_code","rank","match","tour","round","player_id","scrape_time"
"Serena Williams","USA","1",1,"WTA",1,1,2014-08-23 14:48:09
"Taylor Townsend","USA",NA,1,"WTA",1,2,2014-08-23 14:48:09
"Francesca Schiavone","ITA",NA,2,"WTA",1,3,2014-08-23 14:48:09
"Vania King","USA",NA,2,"WTA",1,4,2014-08-23 14:48:09
"Varvara Lepchenko","USA",NA,3,"WTA",1,5,2014-08-23 14:48:09
"Alison Van Uytvanck","BEL",NA,3,"WTA",1,6,2014-08-23 14:48:09
"Mona Barthel","GER",NA,4,"WTA",1,7,2014-08-23 14:48:09
"Shuai Zhang","CHN","32",4,"WTA",1,8,2014-08-23 14:48:09
"Samantha Stosur","AUS","24",5,"WTA",1,9,2014-08-23 14:48:09
"Lauren Davis","USA",NA,5,"WTA",1,10,2014-08-23 14:48:09
"Pauline Parmentier","FRA",NA,6,"WTA",1,11,2014-08-23 14:48:09
"Kaia Kanepi","EST",NA,6,"WTA",1,12,2014-08-23 14:48:09
"Coco Vandeweghe","USA",NA,7,"WTA",1,13,2014-08-23 14:48:09
"Donna Vekic","CRO",NA,7,"WTA",1,14,2014-08-23 14:48:09
"Ajla Tomljanovic","AUS",NA,8,"WTA",1,15,2014-08-23 14:48:09
"Carla Suarez Navarro","ESP","15",8,"WTA",1,16,2014-08-23 14:48:09
"Flavia Pennetta","ITA","11",9,"WTA",1,17,2014-08-23 14:48:09
"Julia Goerges","GER",NA,9,"WTA",1,18,2014-08-23 14:48:09
"Shelby Rogers","USA",NA,10,"WTA",1,19,2014-08-23 14:48:09
"Maryna Zanevska","UKR",NA,10,"WTA",1,20,2014-08-23 14:48:09
"Nicole Gibbs","USA",NA,11,"WTA",1,21,2014-08-23 14:48:09
"Caroline Garcia","FRA",NA,11,"WTA",1,22,2014-08-23 14:48:09
"Teliana Pereira","BRA",NA,12,"WTA",1,23,2014-08-23 14:48:09
"A.Pavlyuchenkova","RUS","23",12,"WTA",1,24,2014-08-23 14:48:09
"Casey Dellacqua","AUS","29",13,"WTA",1,25,2014-08-23 14:48:09
"P.Mayr-Achleitner","AUT",NA,13,"WTA",1,26,2014-08-23 14:48:09
"Paula Kania","POL",NA,14,"WTA",1,27,2014-08-23 14:48:09
"Qiang Wang","CHN",NA,14,"WTA",1,28,2014-08-23 14:48:09
"Karolina Pliskova","CZE",NA,15,"WTA",1,29,2014-08-23 14:48:09
