"country_code","player","rank","match","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country","gender"
"AUT","Jurgen Melzer",NA,62,1,123,"2014-08-23 14:46:59",1981-05-22,72.047283,178,"L",33.2539356605065,33,"Austria","Mens"
"BEL","David Goffin",NA,51,1,102,"2014-08-23 14:46:59",1990-12-07,70.86618,150,"R",23.709787816564,23,"Belgium","Mens"
"BEL","Niels Desein",NA,51,1,101,"2014-08-23 14:46:59",1987-09-06,75,185,"R",26.9623545516769,26,"Belgium","Mens"
"BEL","Steve Darcis",NA,34,1,67,"2014-08-23 14:46:59",1984-03-13,70.078778,161,"R",30.444900752909,30,"Belgium","Mens"
"BIH","Damir Dzumhur",NA,48,1,95,"2014-08-23 14:46:59",1992-05-20,69,154,"R",22.258726899384,22,"Bosnia","Mens"
"BRA","Thomaz Bellucci",NA,18,1,35,"2014-08-23 14:46:59",1987-12-30,74.015788,181,"L",26.6475017111567,26,"Brazil","Mens"
"BUL","Grigor Dimitrov",7,49,1,97,"2014-08-23 14:46:59",1991-05-16,74.80319,176,"R",23.2717316906229,23,"Bulgaria","Mens"
"CAN","Vasek Pospisil",NA,23,1,46,"2014-08-23 14:46:59",1990-06-23,75.984293,185,"R",24.1670088980151,24,"Canada","Mens"
"CAN","Frank Dancevic",NA,52,1,103,"2014-08-23 14:46:59",1984-09-26,72.834685,175,"R",29.9055441478439,29,"Canada","Mens"
"CAN","Milos Raonic",5,32,1,64,"2014-08-23 14:46:59",1990-12-27,77.165396,218,"R",23.6550308008214,23,"Canada","Mens"
"COL","Alejandro Gonzalez",NA,54,1,107,"2014-08-23 14:46:59",1989-02-07,74.80319,182,"R",25.5386721423682,25,"Colombia","Mens"
"COL","Alejandro Falla",NA,20,1,39,"2014-08-23 14:46:59",1983-11-14,72.834685,169,"L",30.7734428473648,30,"Colombia","Mens"
"COL","Santiago Giraldo",27,36,1,72,"2014-08-23 14:46:59",1987-11-27,74.015788,166,"R",26.7378507871321,26,"Colombia","Mens"
"CRO","Ivo Karlovic",25,61,1,121,"2014-08-23 14:46:59",1979-02-28,83.070911,230,"R",35.482546201232,35,"Croatia","Mens"
"CRO","Ivan Dodig",NA,37,1,74,"2014-08-23 14:46:59",1985-01-02,72.047283,183,"R",29.637234770705,29,"Croatia","Mens"
"CRO","Borna Coric",NA,29,1,58,"2014-08-23 14:46:59",1999-11-14,73,174,"R",14.7734428473648,14,"Croatia","Mens"
"CRO","Marin Cilic",14,41,1,81,"2014-08-23 14:46:59",1988-09-28,77.952798,180,"R",25.9000684462697,25,"Croatia","Mens"
"CYP","Marcos Baghdatis",NA,41,1,82,"2014-08-23 14:46:59",1985-06-17,70.078778,181,"R",29.1827515400411,29,"Cypress","Mens"
"CZE","Radek Stepanek",NA,15,1,30,"2014-08-23 14:46:59",1978-11-27,72.834685,167,"R",35.7371663244353,35,"Czech Republic","Mens"
"CZE","Tomas Berdych",6,33,1,65,"2014-08-23 14:46:59",1985-09-17,77.165396,200,"R",28.9308692676249,28,"Czech Republic","Mens"
"CZE","Jiri Vesely",NA,17,1,34,"2014-08-23 14:46:59",1993-07-10,77.952798,198,"L",21.119780971937,21,"Czech Republic","Mens"
"CZE","Lukas Rosol",29,29,1,57,"2014-08-23 14:46:59",1985-07-24,77.165396,178,"R",29.0814510609172,29,"Czech Republic","Mens"
"DOM","Victor Estrella Burgos",NA,30,1,59,"2014-08-23 14:46:59",1980-08-02,68.110273,170,"R",34.0561259411362,34,"Dominican Republic","Mens"
"ESP","Albert Ramos-Vinolas",NA,63,1,125,"2014-08-23 14:46:59",1988-01-17,74.015788,177,"L",26.5982203969884,26,"Spain","Mens"
"ESP","David Ferrer",4,48,1,96,"2014-08-23 14:46:59",1982-04-02,68.897675,160,"R",32.3915126625599,32,"Spain","Mens"
"ESP","Pere Riba",NA,58,1,115,"2014-08-23 14:46:59",1988-04-07,72.047283,174,"R",26.3764544832307,26,"Spain","Mens"
"ESP","Daniel Gimeno-Traver",NA,6,1,12,"2014-08-23 14:46:59",1985-08-07,72.047283,176,"R",29.0431211498973,29,"Spain","Mens"
"ESP","Pablo Carreno Busta",NA,11,1,21,"2014-08-23 14:46:59",1991-07-12,74.015788,163,"R",23.1156741957563,23,"Spain","Mens"
"ESP","Feliciano Lopez",19,37,1,73,"2014-08-23 14:46:59",1981-09-20,74.015788,187,"L",32.9226557152635,32,"Spain","Mens"
"ESP","Albert Montanes",NA,28,1,55,"2014-08-23 14:46:59",1980-11-26,68.897675,155,"R",33.7385352498289,33,"Spain","Mens"
"ESP","Pablo Andujar",NA,26,1,51,"2014-08-23 14:46:59",1986-01-23,70.86618,167,"R",28.580424366872,28,"Spain","Mens"
"ESP","Marcel Granollers",NA,62,1,124,"2014-08-23 14:46:59",1986-04-12,74.80319,169,"R",28.3641341546886,28,"Spain","Mens"
"ESP","Roberto Bautista Agut",17,60,1,120,"2014-08-23 14:46:59",1988-04-14,72.047283,168,"R",26.3572895277207,26,"Spain","Mens"
"ESP","Tommy Robredo",16,24,1,48,"2014-08-23 14:46:59",1982-05-01,70.86618,165,"R",32.3121149897331,32,"Spain","Mens"
"ESP","Fernando Verdasco",31,13,1,25,"2014-08-23 14:46:59",1983-11-15,74.015788,194,"L",30.7707049965777,30,"Spain","Mens"
"ESP","Guillermo Garcia-Lopez",28,4,1,8,"2014-08-23 14:46:59",1983-06-04,74.015788,180,"R",31.2197125256674,31,"Spain","Mens"
"FIN","Jarkko Nieminen",NA,61,1,122,"2014-08-23 14:46:59",1981-07-23,72.834685,172,"L",33.0841889117043,33,"Finland","Mens"
"FRA","Adrian Mannarino",NA,58,1,116,"2014-08-23 14:46:59",1988-06-29,72.047283,152,"L",26.1492128678987,26,"France","Mens"
"FRA","Benoit Paire",NA,12,1,23,"2014-08-23 14:46:59",1989-05-08,77.165396,176,"R",25.2922655715264,25,"France","Mens"
"FRA","Kenny De Schepper",NA,40,1,79,"2014-08-23 14:46:59",1987-05-29,79.921303,225,"L",27.2361396303901,27,"France","Mens"
"FRA","Gael Monfils",20,53,1,105,"2014-08-23 14:46:59",1986-09-01,75.984293,177,"R",27.9753593429158,27,"France","Mens"
"FRA","Jeremy Chardy",30,20,1,40,"2014-08-23 14:46:59",1987-02-12,74.015788,165,"R",27.5263518138261,27,"France","Mens"
"FRA","Gilles Simon",26,45,1,89,"2014-08-23 14:46:59",1984-12-27,72.047283,154,"R",29.6536618754278,29,"France","Mens"
"FRA","Jo-Wilfried Tsonga",9,9,1,17,"2014-08-23 14:46:59",1985-04-17,74.015788,200,"R",29.3497604380561,29,"France","Mens"
