,year,set_number,score_sets,games_winner,games_loser,score_extra,tiebreaker_winner,tiebreaker_loser,country_winner,winner,country_loser,loser,score_match,genderID,typeID,tournID,tourID
188,1930,1,10дус8,10,8,,,,USA,John Doeg,USA,Francis Shields,"10-8, 1-6, 6-4, 16-14",M,S,USO,ATP
189,1930,2,1дус6,1,6,,,,USA,John Doeg,USA,Francis Shields,"10-8, 1-6, 6-4, 16-14",M,S,USO,ATP
190,1930,3,6дус4,6,4,,,,USA,John Doeg,USA,Francis Shields,"10-8, 1-6, 6-4, 16-14",M,S,USO,ATP
191,1930,4,16дус14,16,14,,,,USA,John Doeg,USA,Francis Shields,"10-8, 1-6, 6-4, 16-14",M,S,USO,ATP
192,1931,1,7дус9,7,9,,,,USA,Ellsworth Vines,USA,George Lott,"7-9, 6-3, 9-7, 7-5",M,S,USO,ATP
193,1931,2,6дус3,6,3,,,,USA,Ellsworth Vines,USA,George Lott,"7-9, 6-3, 9-7, 7-5",M,S,USO,ATP
194,1931,3,9дус7,9,7,,,,USA,Ellsworth Vines,USA,George Lott,"7-9, 6-3, 9-7, 7-5",M,S,USO,ATP
195,1931,4,7дус5,7,5,,,,USA,Ellsworth Vines,USA,George Lott,"7-9, 6-3, 9-7, 7-5",M,S,USO,ATP
196,1932,1,6дус4,6,4,,,,USA,Ellsworth Vines,FRA,Henri Cochet,"6-4, 6-4, 6-4",M,S,USO,ATP
197,1932,2,6дус4,6,4,,,,USA,Ellsworth Vines,FRA,Henri Cochet,"6-4, 6-4, 6-4",M,S,USO,ATP
198,1932,3,6дус4,6,4,,,,USA,Ellsworth Vines,FRA,Henri Cochet,"6-4, 6-4, 6-4",M,S,USO,ATP
199,1933,1,6дус3,6,3,,,,GBR,Fred Perry,AUS,Jack Crawford,"6-3, 11-13, 4-6, 6-0, 6-1",M,S,USO,ATP
200,1933,2,11дус13,11,13,,,,GBR,Fred Perry,AUS,Jack Crawford,"6-3, 11-13, 4-6, 6-0, 6-1",M,S,USO,ATP
201,1933,3,4дус6,4,6,,,,GBR,Fred Perry,AUS,Jack Crawford,"6-3, 11-13, 4-6, 6-0, 6-1",M,S,USO,ATP
202,1933,4,6дус0,6,0,,,,GBR,Fred Perry,AUS,Jack Crawford,"6-3, 11-13, 4-6, 6-0, 6-1",M,S,USO,ATP
203,1933,5,6дус1,6,1,,,,GBR,Fred Perry,AUS,Jack Crawford,"6-3, 11-13, 4-6, 6-0, 6-1",M,S,USO,ATP
204,1934,1,6дус4,6,4,,,,GBR,Fred Perry,USA,Wilmer Allison,"6-4, 6-3, 3-6, 1-6, 8-6",M,S,USO,ATP
205,1934,2,6дус3,6,3,,,,GBR,Fred Perry,USA,Wilmer Allison,"6-4, 6-3, 3-6, 1-6, 8-6",M,S,USO,ATP
206,1934,3,3дус6,3,6,,,,GBR,Fred Perry,USA,Wilmer Allison,"6-4, 6-3, 3-6, 1-6, 8-6",M,S,USO,ATP
207,1934,4,1дус6,1,6,,,,GBR,Fred Perry,USA,Wilmer Allison,"6-4, 6-3, 3-6, 1-6, 8-6",M,S,USO,ATP
208,1934,5,8дус6,8,6,,,,GBR,Fred Perry,USA,Wilmer Allison,"6-4, 6-3, 3-6, 1-6, 8-6",M,S,USO,ATP
209,1935,1,6дус2,6,2,,,,USA,Wilmer Allison,USA,Sidney Wood,"6-2, 6-2, 6-3",M,S,USO,ATP
210,1935,2,6дус2,6,2,,,,USA,Wilmer Allison,USA,Sidney Wood,"6-2, 6-2, 6-3",M,S,USO,ATP
211,1935,3,6дус3,6,3,,,,USA,Wilmer Allison,USA,Sidney Wood,"6-2, 6-2, 6-3",M,S,USO,ATP
212,1936,1,2дус6,2,6,,,,GBR,Fred Perry,USA,Don Budge,"2-6, 6-2, 8-6, 1-6, 10-8",M,S,USO,ATP
213,1936,2,6дус2,6,2,,,,GBR,Fred Perry,USA,Don Budge,"2-6, 6-2, 8-6, 1-6, 10-8",M,S,USO,ATP
214,1936,3,8дус6,8,6,,,,GBR,Fred Perry,USA,Don Budge,"2-6, 6-2, 8-6, 1-6, 10-8",M,S,USO,ATP
215,1936,4,1дус6,1,6,,,,GBR,Fred Perry,USA,Don Budge,"2-6, 6-2, 8-6, 1-6, 10-8",M,S,USO,ATP
216,1936,5,10дус8,10,8,,,,GBR,Fred Perry,USA,Don Budge,"2-6, 6-2, 8-6, 1-6, 10-8",M,S,USO,ATP
217,1937,1,6дус1,6,1,,,,USA,Don Budge,GER,Gottfried von Cramm,"6-1, 7-9, 6-1, 3-6, 6-1",M,S,USO,ATP
218,1937,2,7дус9,7,9,,,,USA,Don Budge,GER,Gottfried von Cramm,"6-1, 7-9, 6-1, 3-6, 6-1",M,S,USO,ATP
219,1937,3,6дус1,6,1,,,,USA,Don Budge,GER,Gottfried von Cramm,"6-1, 7-9, 6-1, 3-6, 6-1",M,S,USO,ATP
220,1937,4,3дус6,3,6,,,,USA,Don Budge,GER,Gottfried von Cramm,"6-1, 7-9, 6-1, 3-6, 6-1",M,S,USO,ATP
221,1937,5,6дус1,6,1,,,,USA,Don Budge,GER,Gottfried von Cramm,"6-1, 7-9, 6-1, 3-6, 6-1",M,S,USO,ATP
222,1938,1,6дус3,6,3,,,,USA,Don Budge,USA,Gene Mako,"6-3, 6-8, 6-2, 6-1",M,S,USO,ATP
223,1938,2,6дус8,6,8,,,,USA,Don Budge,USA,Gene Mako,"6-3, 6-8, 6-2, 6-1",M,S,USO,ATP
224,1938,3,6дус2,6,2,,,,USA,Don Budge,USA,Gene Mako,"6-3, 6-8, 6-2, 6-1",M,S,USO,ATP
225,1938,4,6дус1,6,1,,,,USA,Don Budge,USA,Gene Mako,"6-3, 6-8, 6-2, 6-1",M,S,USO,ATP
226,1939,1,6дус4,6,4,,,,USA,Bobby Riggs,USA,Welby Van Horn,"6-4, 6-2, 6-4",M,S,USO,ATP
227,1939,2,6дус2,6,2,,,,USA,Bobby Riggs,USA,Welby Van Horn,"6-4, 6-2, 6-4",M,S,USO,ATP
228,1939,3,6дус4,6,4,,,,USA,Bobby Riggs,USA,Welby Van Horn,"6-4, 6-2, 6-4",M,S,USO,ATP
229,1940,1,4дус6,4,6,,,,USA,Don McNeill,USA,Bobby Riggs,"4-6, 6-8, 6-3, 6-3, 7-5",M,S,USO,ATP
230,1940,2,6дус8,6,8,,,,USA,Don McNeill,USA,Bobby Riggs,"4-6, 6-8, 6-3, 6-3, 7-5",M,S,USO,ATP
231,1940,3,6дус3,6,3,,,,USA,Don McNeill,USA,Bobby Riggs,"4-6, 6-8, 6-3, 6-3, 7-5",M,S,USO,ATP
232,1940,4,6дус3,6,3,,,,USA,Don McNeill,USA,Bobby Riggs,"4-6, 6-8, 6-3, 6-3, 7-5",M,S,USO,ATP
233,1940,5,7дус5,7,5,,,,USA,Don McNeill,USA,Bobby Riggs,"4-6, 6-8, 6-3, 6-3, 7-5",M,S,USO,ATP
234,1941,1,5дус7,5,7,,,,USA,Bobby Riggs,USA,Frank Kovacs,"5-7, 6-1, 6-3, 6-3",M,S,USO,ATP
235,1941,2,6дус1,6,1,,,,USA,Bobby Riggs,USA,Frank Kovacs,"5-7, 6-1, 6-3, 6-3",M,S,USO,ATP
236,1941,3,6дус3,6,3,,,,USA,Bobby Riggs,USA,Frank Kovacs,"5-7, 6-1, 6-3, 6-3",M,S,USO,ATP
237,1941,4,6дус3,6,3,,,,USA,Bobby Riggs,USA,Frank Kovacs,"5-7, 6-1, 6-3, 6-3",M,S,USO,ATP
238,1942,1,8дус6,8,6,,,,USA,Ted Schroeder,USA,Frank Parker,"8-6, 7-5, 3-6, 4-6, 6-2",M,S,USO,ATP
239,1942,2,7дус5,7,5,,,,USA,Ted Schroeder,USA,Frank Parker,"8-6, 7-5, 3-6, 4-6, 6-2",M,S,USO,ATP
240,1942,3,3дус6,3,6,,,,USA,Ted Schroeder,USA,Frank Parker,"8-6, 7-5, 3-6, 4-6, 6-2",M,S,USO,ATP
241,1942,4,4дус6,4,6,,,,USA,Ted Schroeder,USA,Frank Parker,"8-6, 7-5, 3-6, 4-6, 6-2",M,S,USO,ATP
242,1942,5,6дус2,6,2,,,,USA,Ted Schroeder,USA,Frank Parker,"8-6, 7-5, 3-6, 4-6, 6-2",M,S,USO,ATP
243,1943,1,6дус3,6,3,,,,USA,Joseph Hunt,USA,Jack Kramer,"6-3, 6-8, 10-8, 6-0",M,S,USO,ATP
244,1943,2,6дус8,6,8,,,,USA,Joseph Hunt,USA,Jack Kramer,"6-3, 6-8, 10-8, 6-0",M,S,USO,ATP
245,1943,3,10дус8,10,8,,,,USA,Joseph Hunt,USA,Jack Kramer,"6-3, 6-8, 10-8, 6-0",M,S,USO,ATP
246,1943,4,6дус0,6,0,,,,USA,Joseph Hunt,USA,Jack Kramer,"6-3, 6-8, 10-8, 6-0",M,S,USO,ATP
247,1944,1,6дус4,6,4,,,,USA,Frank Parker,USA,Bill Talbert,"6-4, 3-6, 6-3, 6-3",M,S,USO,ATP
248,1944,2,3дус6,3,6,,,,USA,Frank Parker,USA,Bill Talbert,"6-4, 3-6, 6-3, 6-3",M,S,USO,ATP
249,1944,3,6дус3,6,3,,,,USA,Frank Parker,USA,Bill Talbert,"6-4, 3-6, 6-3, 6-3",M,S,USO,ATP
250,1944,4,6дус3,6,3,,,,USA,Frank Parker,USA,Bill Talbert,"6-4, 3-6, 6-3, 6-3",M,S,USO,ATP
251,1945,1,14дус12,14,12,,,,USA,Frank Parker,USA,Bill Talbert,"14-12, 6-1, 6-2",M,S,USO,ATP
252,1945,2,6дус1,6,1,,,,USA,Frank Parker,USA,Bill Talbert,"14-12, 6-1, 6-2",M,S,USO,ATP
253,1945,3,6дус2,6,2,,,,USA,Frank Parker,USA,Bill Talbert,"14-12, 6-1, 6-2",M,S,USO,ATP
254,1946,1,9дус7,9,7,,,,USA,Jack Kramer,USA,Tom Brown,"9-7, 6-3, 6-0",M,S,USO,ATP
255,1946,2,6дус3,6,3,,,,USA,Jack Kramer,USA,Tom Brown,"9-7, 6-3, 6-0",M,S,USO,ATP
256,1946,3,6дус0,6,0,,,,USA,Jack Kramer,USA,Tom Brown,"9-7, 6-3, 6-0",M,S,USO,ATP
257,1947,1,4дус6,4,6,,,,USA,Jack Kramer,USA,Frank Parker,"4-6, 2-6, 6-1, 6-0, 6-3",M,S,USO,ATP
258,1947,2,2дус6,2,6,,,,USA,Jack Kramer,USA,Frank Parker,"4-6, 2-6, 6-1, 6-0, 6-3",M,S,USO,ATP
259,1947,3,6дус1,6,1,,,,USA,Jack Kramer,USA,Frank Parker,"4-6, 2-6, 6-1, 6-0, 6-3",M,S,USO,ATP
260,1947,4,6дус0,6,0,,,,USA,Jack Kramer,USA,Frank Parker,"4-6, 2-6, 6-1, 6-0, 6-3",M,S,USO,ATP
261,1947,5,6дус3,6,3,,,,USA,Jack Kramer,USA,Frank Parker,"4-6, 2-6, 6-1, 6-0, 6-3",M,S,USO,ATP
262,1948,1,6дус2,6,2,,,,USA,Pancho Gonzales,RSA,Eric Sturgess,"6-2, 6-3, 14-12",M,S,USO,ATP
263,1948,2,6дус3,6,3,,,,USA,Pancho Gonzales,RSA,Eric Sturgess,"6-2, 6-3, 14-12",M,S,USO,ATP
264,1948,3,14дус12,14,12,,,,USA,Pancho Gonzales,RSA,Eric Sturgess,"6-2, 6-3, 14-12",M,S,USO,ATP
265,1949,1,16дус18,16,18,,,,USA,Pancho Gonzales,USA,Ted Schroeder,"16-18, 2-6, 6-1, 6-2, 6-4",M,S,USO,ATP
266,1949,2,2дус6,2,6,,,,USA,Pancho Gonzales,USA,Ted Schroeder,"16-18, 2-6, 6-1, 6-2, 6-4",M,S,USO,ATP
267,1949,3,6дус1,6,1,,,,USA,Pancho Gonzales,USA,Ted Schroeder,"16-18, 2-6, 6-1, 6-2, 6-4",M,S,USO,ATP
268,1949,4,6дус2,6,2,,,,USA,Pancho Gonzales,USA,Ted Schroeder,"16-18, 2-6, 6-1, 6-2, 6-4",M,S,USO,ATP
269,1949,5,6дус4,6,4,,,,USA,Pancho Gonzales,USA,Ted Schroeder,"16-18, 2-6, 6-1, 6-2, 6-4",M,S,USO,ATP
270,1950,1,6дус3,6,3,,,,USA,Arthur Larsen,USA,Herbert Flam,"6-3, 4-6, 5-7, 6-4, 6-3",M,S,USO,ATP
271,1950,2,4дус6,4,6,,,,USA,Arthur Larsen,USA,Herbert Flam,"6-3, 4-6, 5-7, 6-4, 6-3",M,S,USO,ATP
272,1950,3,5дус7,5,7,,,,USA,Arthur Larsen,USA,Herbert Flam,"6-3, 4-6, 5-7, 6-4, 6-3",M,S,USO,ATP
273,1950,4,6дус4,6,4,,,,USA,Arthur Larsen,USA,Herbert Flam,"6-3, 4-6, 5-7, 6-4, 6-3",M,S,USO,ATP
274,1950,5,6дус3,6,3,,,,USA,Arthur Larsen,USA,Herbert Flam,"6-3, 4-6, 5-7, 6-4, 6-3",M,S,USO,ATP
275,1951,1,6дус4,6,4,,,,AUS,Frank Sedgman,USA,Vic Seixas,"6-4, 6-1, 6-1",M,S,USO,ATP
276,1951,2,6дус1,6,1,,,,AUS,Frank Sedgman,USA,Vic Seixas,"6-4, 6-1, 6-1",M,S,USO,ATP
277,1951,3,6дус1,6,1,,,,AUS,Frank Sedgman,USA,Vic Seixas,"6-4, 6-1, 6-1",M,S,USO,ATP
278,1952,1,6дус1,6,1,,,,AUS,Frank Sedgman,USA,Gardnar Mulloy,"6-1, 6-2, 6-3",M,S,USO,ATP
279,1952,2,6дус2,6,2,,,,AUS,Frank Sedgman,USA,Gardnar Mulloy,"6-1, 6-2, 6-3",M,S,USO,ATP
280,1952,3,6дус3,6,3,,,,AUS,Frank Sedgman,USA,Gardnar Mulloy,"6-1, 6-2, 6-3",M,S,USO,ATP
281,1953,1,6дус3,6,3,,,,USA,Tony Trabert,USA,Vic Seixas,"6-3, 6-2, 6-3",M,S,USO,ATP
282,1953,2,6дус2,6,2,,,,USA,Tony Trabert,USA,Vic Seixas,"6-3, 6-2, 6-3",M,S,USO,ATP
283,1953,3,6дус3,6,3,,,,USA,Tony Trabert,USA,Vic Seixas,"6-3, 6-2, 6-3",M,S,USO,ATP
284,1954,1,3дус6,3,6,,,,USA,Vic Seixas,AUS,Rex Hartwig,"3-6, 6-2, 6-4, 6-4",M,S,USO,ATP
285,1954,2,6дус2,6,2,,,,USA,Vic Seixas,AUS,Rex Hartwig,"3-6, 6-2, 6-4, 6-4",M,S,USO,ATP
286,1954,3,6дус4,6,4,,,,USA,Vic Seixas,AUS,Rex Hartwig,"3-6, 6-2, 6-4, 6-4",M,S,USO,ATP
287,1954,4,6дус4,6,4,,,,USA,Vic Seixas,AUS,Rex Hartwig,"3-6, 6-2, 6-4, 6-4",M,S,USO,ATP
288,1955,1,9дус7,9,7,,,,USA,Tony Trabert,AUS,Ken Rosewall,"9-7, 6-3, 6-3",M,S,USO,ATP
289,1955,2,6дус3,6,3,,,,USA,Tony Trabert,AUS,Ken Rosewall,"9-7, 6-3, 6-3",M,S,USO,ATP
290,1955,3,6дус3,6,3,,,,USA,Tony Trabert,AUS,Ken Rosewall,"9-7, 6-3, 6-3",M,S,USO,ATP
291,1956,1,4дус6,4,6,,,,AUS,Ken Rosewall,AUS,Lew Hoad,"4-6, 6-2, 6-3, 6-3",M,S,USO,ATP
292,1956,2,6дус2,6,2,,,,AUS,Ken Rosewall,AUS,Lew Hoad,"4-6, 6-2, 6-3, 6-3",M,S,USO,ATP
293,1956,3,6дус3,6,3,,,,AUS,Ken Rosewall,AUS,Lew Hoad,"4-6, 6-2, 6-3, 6-3",M,S,USO,ATP
294,1956,4,6дус3,6,3,,,,AUS,Ken Rosewall,AUS,Lew Hoad,"4-6, 6-2, 6-3, 6-3",M,S,USO,ATP
295,1957,1,10дус8,10,8,,,,AUS,Malcolm Anderson,AUS,Ashley Cooper,"10-8, 7-5, 6-4",M,S,USO,ATP
296,1957,2,7дус5,7,5,,,,AUS,Malcolm Anderson,AUS,Ashley Cooper,"10-8, 7-5, 6-4",M,S,USO,ATP
297,1957,3,6дус4,6,4,,,,AUS,Malcolm Anderson,AUS,Ashley Cooper,"10-8, 7-5, 6-4",M,S,USO,ATP
298,1958,1,6дус2,6,2,,,,AUS,Ashley Cooper,AUS,Malcolm Anderson,"6-2, 3-6, 4-6, 10-8, 8-6",M,S,USO,ATP
299,1958,2,3дус6,3,6,,,,AUS,Ashley Cooper,AUS,Malcolm Anderson,"6-2, 3-6, 4-6, 10-8, 8-6",M,S,USO,ATP
300,1958,3,4дус6,4,6,,,,AUS,Ashley Cooper,AUS,Malcolm Anderson,"6-2, 3-6, 4-6, 10-8, 8-6",M,S,USO,ATP
301,1958,4,10дус8,10,8,,,,AUS,Ashley Cooper,AUS,Malcolm Anderson,"6-2, 3-6, 4-6, 10-8, 8-6",M,S,USO,ATP
302,1958,5,8дус6,8,6,,,,AUS,Ashley Cooper,AUS,Malcolm Anderson,"6-2, 3-6, 4-6, 10-8, 8-6",M,S,USO,ATP
303,1959,1,6дус3,6,3,,,,AUS,Neale Fraser,USA,Alex Olmedo,"6-3, 5-7, 6-2, 6-4",M,S,USO,ATP
304,1959,2,5дус7,5,7,,,,AUS,Neale Fraser,USA,Alex Olmedo,"6-3, 5-7, 6-2, 6-4",M,S,USO,ATP
305,1959,3,6дус2,6,2,,,,AUS,Neale Fraser,USA,Alex Olmedo,"6-3, 5-7, 6-2, 6-4",M,S,USO,ATP
306,1959,4,6дус4,6,4,,,,AUS,Neale Fraser,USA,Alex Olmedo,"6-3, 5-7, 6-2, 6-4",M,S,USO,ATP
307,1960,1,6дус4,6,4,,,,AUS,Neale Fraser,AUS,Rod Laver,"6-4, 6-4, 9-7",M,S,USO,ATP
308,1960,2,6дус4,6,4,,,,AUS,Neale Fraser,AUS,Rod Laver,"6-4, 6-4, 9-7",M,S,USO,ATP
309,1960,3,9дус7,9,7,,,,AUS,Neale Fraser,AUS,Rod Laver,"6-4, 6-4, 9-7",M,S,USO,ATP
310,1961,1,7дус5,7,5,,,,AUS,Roy Emerson,AUS,Rod Laver,"7-5, 6-3, 6-2",M,S,USO,ATP
311,1961,2,6дус3,6,3,,,,AUS,Roy Emerson,AUS,Rod Laver,"7-5, 6-3, 6-2",M,S,USO,ATP
312,1961,3,6дус2,6,2,,,,AUS,Roy Emerson,AUS,Rod Laver,"7-5, 6-3, 6-2",M,S,USO,ATP
313,1962,1,6дус2,6,2,,,,AUS,Rod Laver,AUS,Roy Emerson,"6-2, 6-4, 5-7, 6-4",M,S,USO,ATP
314,1962,2,6дус4,6,4,,,,AUS,Rod Laver,AUS,Roy Emerson,"6-2, 6-4, 5-7, 6-4",M,S,USO,ATP
315,1962,3,5дус7,5,7,,,,AUS,Rod Laver,AUS,Roy Emerson,"6-2, 6-4, 5-7, 6-4",M,S,USO,ATP
316,1962,4,6дус4,6,4,,,,AUS,Rod Laver,AUS,Roy Emerson,"6-2, 6-4, 5-7, 6-4",M,S,USO,ATP
317,1963,1,7дус5,7,5,,,,MEX,Rafael Osuna,USA,Frank Froehling,"7-5, 6-4, 6-2",M,S,USO,ATP
318,1963,2,6дус4,6,4,,,,MEX,Rafael Osuna,USA,Frank Froehling,"7-5, 6-4, 6-2",M,S,USO,ATP
319,1963,3,6дус2,6,2,,,,MEX,Rafael Osuna,USA,Frank Froehling,"7-5, 6-4, 6-2",M,S,USO,ATP
320,1964,1,6дус4,6,4,,,,AUS,Roy Emerson,AUS,Fred Stolle,"6-4, 6-2, 6-4",M,S,USO,ATP
321,1964,2,6дус2,6,2,,,,AUS,Roy Emerson,AUS,Fred Stolle,"6-4, 6-2, 6-4",M,S,USO,ATP
322,1964,3,6дус4,6,4,,,,AUS,Roy Emerson,AUS,Fred Stolle,"6-4, 6-2, 6-4",M,S,USO,ATP
323,1965,1,6дус2,6,2,,,,ESP,Manuel Santana,RSA,Cliff Drysdale,"6-2, 7-9, 7-5, 6-1",M,S,USO,ATP
324,1965,2,7дус9,7,9,,,,ESP,Manuel Santana,RSA,Cliff Drysdale,"6-2, 7-9, 7-5, 6-1",M,S,USO,ATP
325,1965,3,7дус5,7,5,,,,ESP,Manuel Santana,RSA,Cliff Drysdale,"6-2, 7-9, 7-5, 6-1",M,S,USO,ATP
326,1965,4,6дус1,6,1,,,,ESP,Manuel Santana,RSA,Cliff Drysdale,"6-2, 7-9, 7-5, 6-1",M,S,USO,ATP
327,1966,1,4дус6,4,6,,,,AUS,Fred Stolle,AUS,John Newcombe,"4-6, 12-10, 6-3, 6-4",M,S,USO,ATP
328,1966,2,12дус10,12,10,,,,AUS,Fred Stolle,AUS,John Newcombe,"4-6, 12-10, 6-3, 6-4",M,S,USO,ATP
329,1966,3,6дус3,6,3,,,,AUS,Fred Stolle,AUS,John Newcombe,"4-6, 12-10, 6-3, 6-4",M,S,USO,ATP
330,1966,4,6дус4,6,4,,,,AUS,Fred Stolle,AUS,John Newcombe,"4-6, 12-10, 6-3, 6-4",M,S,USO,ATP
331,1967,1,6дус4,6,4,,,,AUS,John Newcombe,USA,Clark Graebner,"6-4, 6-4, 8-6",M,S,USO,ATP
332,1967,2,6дус4,6,4,,,,AUS,John Newcombe,USA,Clark Graebner,"6-4, 6-4, 8-6",M,S,USO,ATP
333,1967,3,8дус6,8,6,,,,AUS,John Newcombe,USA,Clark Graebner,"6-4, 6-4, 8-6",M,S,USO,ATP
334,1968,1,14дус12,14,12,,,,USA,Arthur Ashe,NED,Tom Okker,"14-12, 5-7, 6-3, 3-6, 6-3",M,S,USO,ATP
335,1968,2,5дус7,5,7,,,,USA,Arthur Ashe,NED,Tom Okker,"14-12, 5-7, 6-3, 3-6, 6-3",M,S,USO,ATP
336,1968,3,6дус3,6,3,,,,USA,Arthur Ashe,NED,Tom Okker,"14-12, 5-7, 6-3, 3-6, 6-3",M,S,USO,ATP
337,1968,4,3дус6,3,6,,,,USA,Arthur Ashe,NED,Tom Okker,"14-12, 5-7, 6-3, 3-6, 6-3",M,S,USO,ATP
338,1968,5,6дус3,6,3,,,,USA,Arthur Ashe,NED,Tom Okker,"14-12, 5-7, 6-3, 3-6, 6-3",M,S,USO,ATP
339,1969,1,7дус9,7,9,,,,AUS,Rod Laver,AUS,Tony Roche,"7-9, 6-1, 6-2, 6-2",M,S,USO,ATP
340,1969,2,6дус1,6,1,,,,AUS,Rod Laver,AUS,Tony Roche,"7-9, 6-1, 6-2, 6-2",M,S,USO,ATP
341,1969,3,6дус2,6,2,,,,AUS,Rod Laver,AUS,Tony Roche,"7-9, 6-1, 6-2, 6-2",M,S,USO,ATP
342,1969,4,6дус2,6,2,,,,AUS,Rod Laver,AUS,Tony Roche,"7-9, 6-1, 6-2, 6-2",M,S,USO,ATP
343,1970,1,2дус6,2,6,,,,AUS,Ken Rosewall,AUS,Tony Roche,"2-6, 6-4, 7-6(5-2), 6-3[f]",M,S,USO,ATP
344,1970,2,6дус4,6,4,,,,AUS,Ken Rosewall,AUS,Tony Roche,"2-6, 6-4, 7-6(5-2), 6-3[f]",M,S,USO,ATP
345,1970,3,7дус6,7,6,5дус2,5,2,AUS,Ken Rosewall,AUS,Tony Roche,"2-6, 6-4, 7-6(5-2), 6-3[f]",M,S,USO,ATP
346,1970,4,6дус3,6,3,,,,AUS,Ken Rosewall,AUS,Tony Roche,"2-6, 6-4, 7-6(5-2), 6-3[f]",M,S,USO,ATP
347,1971,1,3дус6,3,6,,,,USA,Stan Smith,TCH,Jan KodeЃз,"3-6, 6-3, 6-2, 7-6(5-3)",M,S,USO,ATP
348,1971,2,6дус3,6,3,,,,USA,Stan Smith,TCH,Jan KodeЃз,"3-6, 6-3, 6-2, 7-6(5-3)",M,S,USO,ATP
349,1971,3,6дус2,6,2,,,,USA,Stan Smith,TCH,Jan KodeЃз,"3-6, 6-3, 6-2, 7-6(5-3)",M,S,USO,ATP
350,1971,4,7дус6,7,6,5дус3,5,3,USA,Stan Smith,TCH,Jan KodeЃз,"3-6, 6-3, 6-2, 7-6(5-3)",M,S,USO,ATP
351,1972,1,3дус6,3,6,,,,ROU,Ilie NЫЂstase,USA,Arthur Ashe,"3-6, 6-3, 6-7(1-5), 6-4, 6-3",M,S,USO,ATP
352,1972,2,6дус3,6,3,,,,ROU,Ilie NЫЂstase,USA,Arthur Ashe,"3-6, 6-3, 6-7(1-5), 6-4, 6-3",M,S,USO,ATP
353,1972,3,6дус7,6,7,1дус5,1,5,ROU,Ilie NЫЂstase,USA,Arthur Ashe,"3-6, 6-3, 6-7(1-5), 6-4, 6-3",M,S,USO,ATP
354,1972,4,6дус4,6,4,,,,ROU,Ilie NЫЂstase,USA,Arthur Ashe,"3-6, 6-3, 6-7(1-5), 6-4, 6-3",M,S,USO,ATP
355,1972,5,6дус3,6,3,,,,ROU,Ilie NЫЂstase,USA,Arthur Ashe,"3-6, 6-3, 6-7(1-5), 6-4, 6-3",M,S,USO,ATP
356,1973,1,6дус4,6,4,,,,AUS,John Newcombe,TCH,Jan KodeЃз,"6-4, 1-6, 4-6, 6-2, 6-3",M,S,USO,ATP
357,1973,2,1дус6,1,6,,,,AUS,John Newcombe,TCH,Jan KodeЃз,"6-4, 1-6, 4-6, 6-2, 6-3",M,S,USO,ATP
358,1973,3,4дус6,4,6,,,,AUS,John Newcombe,TCH,Jan KodeЃз,"6-4, 1-6, 4-6, 6-2, 6-3",M,S,USO,ATP
359,1973,4,6дус2,6,2,,,,AUS,John Newcombe,TCH,Jan KodeЃз,"6-4, 1-6, 4-6, 6-2, 6-3",M,S,USO,ATP
360,1973,5,6дус3,6,3,,,,AUS,John Newcombe,TCH,Jan KodeЃз,"6-4, 1-6, 4-6, 6-2, 6-3",M,S,USO,ATP
361,1974,1,6дус1,6,1,,,,USA,Jimmy Connors,AUS,Ken Rosewall,"6-1, 6-0, 6-1",M,S,USO,ATP
362,1974,2,6дус0,6,0,,,,USA,Jimmy Connors,AUS,Ken Rosewall,"6-1, 6-0, 6-1",M,S,USO,ATP
363,1974,3,6дус1,6,1,,,,USA,Jimmy Connors,AUS,Ken Rosewall,"6-1, 6-0, 6-1",M,S,USO,ATP
364,1975,1,6дус4,6,4,,,,ESP,Manuel Orantes,USA,Jimmy Connors,"6-4, 6-3, 6-3",M,S,USO,ATP
365,1975,2,6дус3,6,3,,,,ESP,Manuel Orantes,USA,Jimmy Connors,"6-4, 6-3, 6-3",M,S,USO,ATP
366,1975,3,6дус3,6,3,,,,ESP,Manuel Orantes,USA,Jimmy Connors,"6-4, 6-3, 6-3",M,S,USO,ATP
367,1976,1,6дус4,6,4,,,,USA,Jimmy Connors,SWE,Bjн_rn Borg,"6-4, 3-6, 7-6(11-9), 6-4",M,S,USO,ATP
368,1976,2,3дус6,3,6,,,,USA,Jimmy Connors,SWE,Bjн_rn Borg,"6-4, 3-6, 7-6(11-9), 6-4",M,S,USO,ATP
369,1976,3,7дус6,7,6,11дус9,11,9,USA,Jimmy Connors,SWE,Bjн_rn Borg,"6-4, 3-6, 7-6(11-9), 6-4",M,S,USO,ATP
370,1976,4,6дус4,6,4,,,,USA,Jimmy Connors,SWE,Bjн_rn Borg,"6-4, 3-6, 7-6(11-9), 6-4",M,S,USO,ATP
371,1977,1,2дус6,2,6,,,,ARG,Guillermo Vilas,USA,Jimmy Connors,"2-6, 6-3, 7-6(7-4), 6-0",M,S,USO,ATP
372,1977,2,6дус3,6,3,,,,ARG,Guillermo Vilas,USA,Jimmy Connors,"2-6, 6-3, 7-6(7-4), 6-0",M,S,USO,ATP
373,1977,3,7дус6,7,6,7дус4,7,4,ARG,Guillermo Vilas,USA,Jimmy Connors,"2-6, 6-3, 7-6(7-4), 6-0",M,S,USO,ATP
