,year,set_number,score_sets,games_winner,games_loser,score_extra,tiebreaker_winner,tiebreaker_loser,country_winner,winner,country_loser,loser,score_match,genderID,typeID,tournID,tourID
45,1893,1,6дус4,6,4,,,,USA,Robert Wrenn,USA,Frederick Hovey,"6-4, 3-6, 6-4, 6-4",M,S,USO,ATP
46,1893,2,3дус6,3,6,,,,USA,Robert Wrenn,USA,Frederick Hovey,"6-4, 3-6, 6-4, 6-4",M,S,USO,ATP
47,1893,3,6дус4,6,4,,,,USA,Robert Wrenn,USA,Frederick Hovey,"6-4, 3-6, 6-4, 6-4",M,S,USO,ATP
48,1893,4,6дус4,6,4,,,,USA,Robert Wrenn,USA,Frederick Hovey,"6-4, 3-6, 6-4, 6-4",M,S,USO,ATP
49,1894,1,6дус8,6,8,,,,USA,Robert Wrenn,USA,Manliff Goodbody,"6-8, 6-1, 6-4, 6-4",M,S,USO,ATP
50,1894,2,6дус1,6,1,,,,USA,Robert Wrenn,USA,Manliff Goodbody,"6-8, 6-1, 6-4, 6-4",M,S,USO,ATP
51,1894,3,6дус4,6,4,,,,USA,Robert Wrenn,USA,Manliff Goodbody,"6-8, 6-1, 6-4, 6-4",M,S,USO,ATP
52,1894,4,6дус4,6,4,,,,USA,Robert Wrenn,USA,Manliff Goodbody,"6-8, 6-1, 6-4, 6-4",M,S,USO,ATP
53,1895,1,6дус3,6,3,,,,USA,Frederick Hovey,USA,Robert Wrenn,"6-3, 6-2, 6-4",M,S,USO,ATP
54,1895,2,6дус2,6,2,,,,USA,Frederick Hovey,USA,Robert Wrenn,"6-3, 6-2, 6-4",M,S,USO,ATP
55,1895,3,6дус4,6,4,,,,USA,Frederick Hovey,USA,Robert Wrenn,"6-3, 6-2, 6-4",M,S,USO,ATP
56,1896,1,7дус5,7,5,,,,USA,Robert Wrenn,USA,Frederick Hovey,"7-5, 3-6, 6-0, 1-6, 6-1",M,S,USO,ATP
57,1896,2,3дус6,3,6,,,,USA,Robert Wrenn,USA,Frederick Hovey,"7-5, 3-6, 6-0, 1-6, 6-1",M,S,USO,ATP
58,1896,3,6дус0,6,0,,,,USA,Robert Wrenn,USA,Frederick Hovey,"7-5, 3-6, 6-0, 1-6, 6-1",M,S,USO,ATP
59,1896,4,1дус6,1,6,,,,USA,Robert Wrenn,USA,Frederick Hovey,"7-5, 3-6, 6-0, 1-6, 6-1",M,S,USO,ATP
