singles_rank,player,serve_games_won_pct,srv_rank,return_games_won_pct,rtn_rank,notes
15.00,John Isner,0.93,1.00,0.09,68.00,
47.00,Donald Young,0.74,55.00,0.25,22.00,
51.00,Steve Johnson,0.84,20.00,0.14,67.00,
55.00,Jack Sock,0.86,13.00,0.19,54.00,
57.00,Sam Querrey,0.87,10.00,0.16,64.00,
90.00,Tim Smyczek,0.71,68.00,0.21,43.00,"Not enough Tour level matches played to qualify for official Tour statistical rankings 
  (there are currently 69 players in the official Tour stat rankings"
