"","year","set_number","score_sets","games_winner","games_loser","score_extra","tiebreaker_winner","tiebreaker_loser","country_winner","winner","country_loser","loser","score_match","genderID","tourID","typeID","tournID"
"162","1947",3,"6–1","6","1","",NA,"","USA","Louise Brough Clapp","USA","Margaret Osborne duPont","8–6, 4–6, 6–1","F","WTA","S","USO"
"163","1948",1,"4–6","4","6","",NA,"","USA","Margaret Osborne duPont","USA","Louise Brough Clapp","4–6, 6–4, 15–13","F","WTA","S","USO"
"164","1948",2,"6–4","6","4","",NA,"","USA","Margaret Osborne duPont","USA","Louise Brough Clapp","4–6, 6–4, 15–13","F","WTA","S","USO"
"165","1948",3,"15–13","15","13","",NA,"","USA","Margaret Osborne duPont","USA","Louise Brough Clapp","4–6, 6–4, 15–13","F","WTA","S","USO"
"166","1949",1,"6–3","6","3","",NA,"","USA","Margaret Osborne duPont","USA","Doris Hart","6–3, 6–1","F","WTA","S","USO"
"167","1949",2,"6–1","6","1","",NA,"","USA","Margaret Osborne duPont","USA","Doris Hart","6–3, 6–1","F","WTA","S","USO"
"168","1950",1,"6–4","6","4","",NA,"","USA","Margaret Osborne duPont","USA","Doris Hart","6–4, 6–3","F","WTA","S","USO"
"169","1950",2,"6–3","6","3","",NA,"","USA","Margaret Osborne duPont","USA","Doris Hart","6–4, 6–3","F","WTA","S","USO"
"170","1951",1,"6–3","6","3","",NA,"","USA","Maureen Connolly Brinker","USA","Shirley Fry Irvin","6–3, 1–6, 6–4","F","WTA","S","USO"
"171","1951",2,"1–6","1","6","",NA,"","USA","Maureen Connolly Brinker","USA","Shirley Fry Irvin","6–3, 1–6, 6–4","F","WTA","S","USO"
"172","1951",3,"6–4","6","4","",NA,"","USA","Maureen Connolly Brinker","USA","Shirley Fry Irvin","6–3, 1–6, 6–4","F","WTA","S","USO"
"173","1952",1,"6–3","6","3","",NA,"","USA","Maureen Connolly Brinker","USA","Doris Hart","6–3, 7–5","F","WTA","S","USO"
"174","1952",2,"7–5","7","5","",NA,"","USA","Maureen Connolly Brinker","USA","Doris Hart","6–3, 7–5","F","WTA","S","USO"
"175","1953",1,"6–2","6","2","",NA,"","USA","Maureen Connolly Brinker","USA","Doris Hart","6–2, 6–4","F","WTA","S","USO"
"176","1953",2,"6–4","6","4","",NA,"","USA","Maureen Connolly Brinker","USA","Doris Hart","6–2, 6–4","F","WTA","S","USO"
"177","1954",1,"6–8","6","8","",NA,"","USA","Doris Hart","USA","Louise Brough Clapp","6–8, 6–1, 8–6","F","WTA","S","USO"
"178","1954",2,"6–1","6","1","",NA,"","USA","Doris Hart","USA","Louise Brough Clapp","6–8, 6–1, 8–6","F","WTA","S","USO"
"179","1954",3,"8–6","8","6","",NA,"","USA","Doris Hart","USA","Louise Brough Clapp","6–8, 6–1, 8–6","F","WTA","S","USO"
"180","1955",1,"6–4","6","4","",NA,"","USA","Doris Hart","GBR","Patricia Ward Hales","6–4, 6–2","F","WTA","S","USO"
"181","1955",2,"6–2","6","2","",NA,"","USA","Doris Hart","GBR","Patricia Ward Hales","6–4, 6–2","F","WTA","S","USO"
"182","1956",1,"6–3","6","3","",NA,"","USA","Shirley Fry Irvin","USA","Althea Gibson","6–3, 6–4","F","WTA","S","USO"
"183","1956",2,"6–4","6","4","",NA,"","USA","Shirley Fry Irvin","USA","Althea Gibson","6–3, 6–4","F","WTA","S","USO"
"184","1957",1,"6–3","6","3","",NA,"","USA","Althea Gibson","USA","Louise Brough Clapp","6–3, 6–2","F","WTA","S","USO"
"185","1957",2,"6–2","6","2","",NA,"","USA","Althea Gibson","USA","Louise Brough Clapp","6–3, 6–2","F","WTA","S","USO"
"186","1958",1,"3–6","3","6","",NA,"","USA","Althea Gibson","USA","Darlene Hard","3–6, 6–1, 6–2","F","WTA","S","USO"
"187","1958",2,"6–1","6","1","",NA,"","USA","Althea Gibson","USA","Darlene Hard","3–6, 6–1, 6–2","F","WTA","S","USO"
"188","1958",3,"6–2","6","2","",NA,"","USA","Althea Gibson","USA","Darlene Hard","3–6, 6–1, 6–2","F","WTA","S","USO"
