"","year","set_number","score_sets","games_winner","games_loser","score_extra","tiebreaker_winner","tiebreaker_loser","country_winner","winner","country_loser","loser","score_match","genderID","tourID","typeID","tournID"
"295","2005",2,"6–1","6","1","",NA,"","BEL","Kim Clijsters","FRA","Mary Pierce","6–3, 6–1","F","WTA","S","USO"
"296","2006",1,"6–4","6","4","",NA,"","RUS","Maria Sharapova","BEL","Justine Henin","6–4, 6–4","F","WTA","S","USO"
"297","2006",2,"6–4","6","4","",NA,"","RUS","Maria Sharapova","BEL","Justine Henin","6–4, 6–4","F","WTA","S","USO"
"298","2007",1,"6–1","6","1","",NA,"","BEL","Justine Henin","RUS","Svetlana Kuznetsova","6–1, 6–3","F","WTA","S","USO"
"299","2007",2,"6–3","6","3","",NA,"","BEL","Justine Henin","RUS","Svetlana Kuznetsova","6–1, 6–3","F","WTA","S","USO"
"300","2008",1,"6–4","6","4","",NA,"","USA","Serena Williams","SER","Jelena Janković","6–4, 7–5","F","WTA","S","USO"
"301","2008",2,"7–5","7","5","",NA,"","USA","Serena Williams","SER","Jelena Janković","6–4, 7–5","F","WTA","S","USO"
"302","2009",1,"7–5","7","5","",NA,"","BEL","Kim Clijsters","DEN","Caroline Wozniacki","7–5, 6–3","F","WTA","S","USO"
"303","2009",2,"6–3","6","3","",NA,"","BEL","Kim Clijsters","DEN","Caroline Wozniacki","7–5, 6–3","F","WTA","S","USO"
"304","2010",1,"6–2","6","2","",NA,"","BEL","Kim Clijsters","RUS","Vera Zvonareva","6–2, 6–1","F","WTA","S","USO"
"305","2010",2,"6–1","6","1","",NA,"","BEL","Kim Clijsters","RUS","Vera Zvonareva","6–2, 6–1","F","WTA","S","USO"
"306","2011",1,"6–2","6","2","",NA,"","AUS","Samantha Stosur","USA","Serena Williams","6–2, 6–3","F","WTA","S","USO"
"307","2011",2,"6–3","6","3","",NA,"","AUS","Samantha Stosur","USA","Serena Williams","6–2, 6–3","F","WTA","S","USO"
"308","2012",1,"6–2","6","2","",NA,"","USA","Serena Williams","BLR","Victoria Azarenka","6–2, 2–6, 7–5","F","WTA","S","USO"
"309","2012",2,"2–6","2","6","",NA,"","USA","Serena Williams","BLR","Victoria Azarenka","6–2, 2–6, 7–5","F","WTA","S","USO"
"310","2012",3,"7–5","7","5","",NA,"","USA","Serena Williams","BLR","Victoria Azarenka","6–2, 2–6, 7–5","F","WTA","S","USO"
"311","2013",1,"7–5","7","5","",NA,"","USA","Serena Williams","BLR","Victoria Azarenka","7–5, 6–7(6–8), 6–1","F","WTA","S","USO"
"312","2013",2,"6–7","6","7","6–8","6","8","USA","Serena Williams","BLR","Victoria Azarenka","7–5, 6–7(6–8), 6–1","F","WTA","S","USO"
"313","2013",3,"6–1","6","1","",NA,"","USA","Serena Williams","BLR","Victoria Azarenka","7–5, 6–7(6–8), 6–1","F","WTA","S","USO"
