"country_code","player","rank","match","tour","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country"
"ESP","Daniel Gimeno-Traver",NA,6,"ATP",1,12,"2014-08-23 14:46:59",1985-08-07,72.047283,176,"R",29.0431211498973,29,"Spain"
"ESP","Pablo Carreno Busta",NA,11,"ATP",1,21,"2014-08-23 14:46:59",1991-07-12,74.015788,163,"R",23.1156741957563,23,"Spain"
"ESP","Feliciano Lopez",19,37,"ATP",1,73,"2014-08-23 14:46:59",1981-09-20,74.015788,187,"L",32.9226557152635,32,"Spain"
"ESP","Albert Montanes",NA,28,"ATP",1,55,"2014-08-23 14:46:59",1980-11-26,68.897675,155,"R",33.7385352498289,33,"Spain"
"ESP","Pablo Andujar",NA,26,"ATP",1,51,"2014-08-23 14:46:59",1986-01-23,70.86618,167,"R",28.580424366872,28,"Spain"
"ESP","Marcel Granollers",NA,62,"ATP",1,124,"2014-08-23 14:46:59",1986-04-12,74.80319,169,"R",28.3641341546886,28,"Spain"
"ESP","Roberto Bautista Agut",17,60,"ATP",1,120,"2014-08-23 14:46:59",1988-04-14,72.047283,168,"R",26.3572895277207,26,"Spain"
"ESP","Tommy Robredo",16,24,"ATP",1,48,"2014-08-23 14:46:59",1982-05-01,70.86618,165,"R",32.3121149897331,32,"Spain"
"ESP","Fernando Verdasco",31,13,"ATP",1,25,"2014-08-23 14:46:59",1983-11-15,74.015788,194,"L",30.7707049965777,30,"Spain"
"ESP","Guillermo Garcia-Lopez",28,4,"ATP",1,8,"2014-08-23 14:46:59",1983-06-04,74.015788,180,"R",31.2197125256674,31,"Spain"
"FIN","Jarkko Nieminen",NA,61,"ATP",1,122,"2014-08-23 14:46:59",1981-07-23,72.834685,172,"L",33.0841889117043,33,"Finland"
"FRA","Adrian Mannarino",NA,58,"ATP",1,116,"2014-08-23 14:46:59",1988-06-29,72.047283,152,"L",26.1492128678987,26,"France"
"FRA","Benoit Paire",NA,12,"ATP",1,23,"2014-08-23 14:46:59",1989-05-08,77.165396,176,"R",25.2922655715264,25,"France"
"FRA","Kenny De Schepper",NA,40,"ATP",1,79,"2014-08-23 14:46:59",1987-05-29,79.921303,225,"L",27.2361396303901,27,"France"
"FRA","Gael Monfils",20,53,"ATP",1,105,"2014-08-23 14:46:59",1986-09-01,75.984293,177,"R",27.9753593429158,27,"France"
"FRA","Jeremy Chardy",30,20,"ATP",1,40,"2014-08-23 14:46:59",1987-02-12,74.015788,165,"R",27.5263518138261,27,"France"
"FRA","Gilles Simon",26,45,"ATP",1,89,"2014-08-23 14:46:59",1984-12-27,72.047283,154,"R",29.6536618754278,29,"France"
"FRA","Jo-Wilfried Tsonga",9,9,"ATP",1,17,"2014-08-23 14:46:59",1985-04-17,74.015788,200,"R",29.3497604380561,29,"France"
"FRA","Nicolas Mahut",NA,18,"ATP",1,36,"2014-08-23 14:46:59",1982-01-21,74.80319,176,"R",32.5859000684463,32,"France"
"FRA","Richard Gasquet",12,56,"ATP",1,112,"2014-08-23 14:46:59",1986-06-18,72.834685,165,"R",28.1806981519507,28,"France"
"FRA","Julien Benneteau",24,12,"ATP",1,24,"2014-08-23 14:46:59",1981-12-20,72.834685,174,"R",32.6735112936345,32,"France"
"FRA","Paul-Henri Mathieu",NA,2,"ATP",1,4,"2014-08-23 14:46:59",1982-01-12,72.834685,163,"R",32.6105407255305,32,"France"
"FRA","Michael Llodra",NA,6,"ATP",1,11,"2014-08-23 14:46:59",1980-05-18,74.80319,176,"L",34.2642026009582,34,"France"
"FRA","Edouard Roger-Vasselin",NA,24,"ATP",1,47,"2014-08-23 14:46:59",1983-11-28,74.015788,165,"R",30.735112936345,30,"France"
"GBR","Andy Murray",8,16,"ATP",1,32,"2014-08-23 14:46:59",1987-05-15,74.80319,185,"R",27.27446954141,27,"Great Britain"
"GER","Jan-Lennard Struff",NA,7,"ATP",1,14,"2014-08-23 14:46:59",1990-04-25,77.165396,192,"R",24.3285420944559,24,"Germany"
"GER","Matthias Bachinger",NA,15,"ATP",1,29,"2014-08-23 14:46:59",1987-04-02,74.015788,183,"R",27.3921971252567,27,"Germany"
"GER","Dustin Brown",NA,47,"ATP",1,94,"2014-08-23 14:46:59",1984-12-08,77.165396,172,"R",29.7056810403833,29,"Germany"
"GER","Philipp Kohlschreiber",22,5,"ATP",1,9,"2014-08-23 14:46:59",1983-10-16,70.078778,154,"R",30.8528405201916,30,"Germany"
"GER","Benjamin Becker",NA,31,"ATP",1,62,"2014-08-23 14:46:59",1981-06-16,70.078778,158,"R",33.1854893908282,33,"Germany"
"GER","Andreas Beck",NA,11,"ATP",1,22,"2014-08-23 14:46:59",1986-02-05,74.80319,198,"L",28.5448323066393,28,"Germany"
"GER","Peter Gojowczyk",NA,31,"ATP",1,61,"2014-08-23 14:46:59",1989-07-15,72.834685,183,"R",25.1060917180014,25,"Germany"
"GER","Tobias Kamke",NA,27,"ATP",1,54,"2014-08-23 14:46:59",1986-05-21,70.078778,163,"R",28.2573579739904,28,"Germany"
"IRL","James McGee",NA,10,"ATP",1,19,"2014-08-23 14:46:59",1987-06-10,72,176,"R",27.2032854209446,27,"Ireland"
"ISR","Dudi Sela",NA,50,"ATP",1,100,"2014-08-23 14:46:59",1985-04-04,68.897675,144,"R",29.3853524982888,29,"Israel"
"ITA","Andreas Seppi",NA,22,"ATP",1,44,"2014-08-23 14:46:59",1984-02-21,74.80319,165,"R",30.5023956194387,30,"Italy"
"ITA","Paolo Lorenzi",NA,55,"ATP",1,110,"2014-08-23 14:46:59",1981-12-15,72.047283,169,"R",32.6872005475702,32,"Italy"
"ITA","Simone Bolelli",NA,23,"ATP",1,45,"2014-08-23 14:46:59",1985-10-08,72.047283,174,"R",28.8733744010951,28,"Italy"
"ITA","Fabio Fognini",15,57,"ATP",1,113,"2014-08-23 14:46:59",1987-05-24,70.078778,163,"R",27.2498288843258,27,"Italy"
"JPN","Taro Daniel",NA,32,"ATP",1,63,"2014-08-23 14:46:59",1993-01-27,75,168,"R",21.5687885010267,21,"Japan"
"JPN","Yoshihito Nishioka",NA,55,"ATP",1,109,"2014-08-23 14:46:59",1995-09-27,67,138,"R",18.9048596851472,18,"Japan"
"JPN","Kei Nishikori",10,25,"ATP",1,49,"2014-08-23 14:46:59",1989-12-29,70.078778,150,"R",24.6488706365503,24,"Japan"
"JPN","Tatsuma Ito",NA,38,"ATP",1,76,"2014-08-23 14:46:59",1988-05-18,70.86618,165,"R",26.2642026009582,26,"Japan"
