"player","country_code","rank","match","tour","round","player_id","scrape_time"
"Dominic Thiem","AUT",NA,39,"ATP",1,78,2014-08-21 13:58:37
"Kenny De Schepper","FRA",NA,40,"ATP",1,79,2014-08-21 13:58:37
"Ernests Gulbis","LAT","11",40,"ATP",1,80,2014-08-21 13:58:37
"Marin Cilic","CRO","14",41,"ATP",1,81,2014-08-21 13:58:37
"Marcos Baghdatis","CYP",NA,41,"ATP",1,82,2014-08-21 13:58:37
"Qualifier",NA,NA,42,"ATP",1,83,2014-08-21 13:58:37
"Qualifier",NA,NA,42,"ATP",1,84,2014-08-21 13:58:37
"Jerzy Janowicz","POL",NA,43,"ATP",1,85,2014-08-21 13:58:37
"Dusan Lajovic","SRB",NA,43,"ATP",1,86,2014-08-21 13:58:37
"Pablo Cuevas","URU",NA,44,"ATP",1,87,2014-08-21 13:58:37
"Kevin Anderson","RSA","18",44,"ATP",1,88,2014-08-21 13:58:37
"Gilles Simon","FRA","26",45,"ATP",1,89,2014-08-21 13:58:37
"Qualifier",NA,NA,45,"ATP",1,90,2014-08-21 13:58:37
"Noah Rubin","USA",NA,46,"ATP",1,91,2014-08-21 13:58:37
"Federico Delbonis","ARG",NA,46,"ATP",1,92,2014-08-21 13:58:37
"Bernard Tomic","AUS",NA,47,"ATP",1,93,2014-08-21 13:58:37
"Dustin Brown","GER",NA,47,"ATP",1,94,2014-08-21 13:58:37
"Damir Dzumhur","BIH",NA,48,"ATP",1,95,2014-08-21 13:58:37
"David Ferrer","ESP","4",48,"ATP",1,96,2014-08-21 13:58:37
"Grigor Dimitrov","BUL","7",49,"ATP",1,97,2014-08-21 13:58:37
"Ryan Harrison","USA",NA,49,"ATP",1,98,2014-08-21 13:58:37
"Carlos Berlocq","ARG",NA,50,"ATP",1,99,2014-08-21 13:58:37
"Dudi Sela","ISR",NA,50,"ATP",1,100,2014-08-21 13:58:37
"Qualifier",NA,NA,51,"ATP",1,101,2014-08-21 13:58:37
"David Goffin","BEL",NA,51,"ATP",1,102,2014-08-21 13:58:37
"Frank Dancevic","CAN",NA,52,"ATP",1,103,2014-08-21 13:58:37
"Joao Sousa","POR","32",52,"ATP",1,104,2014-08-21 13:58:37
"Gael Monfils","FRA","20",53,"ATP",1,105,2014-08-21 13:58:37
"Jared Donaldson","USA",NA,53,"ATP",1,106,2014-08-21 13:58:37
"Alejandro Gonzalez","COL",NA,54,"ATP",1,107,2014-08-21 13:58:37
"Dmitry Tursunov","RUS",NA,54,"ATP",1,108,2014-08-21 13:58:37
"Qualifier",NA,NA,55,"ATP",1,109,2014-08-21 13:58:37
"Paolo Lorenzi","ITA",NA,55,"ATP",1,110,2014-08-21 13:58:37
"Denis Istomin","UZB",NA,56,"ATP",1,111,2014-08-21 13:58:37
"Richard Gasquet","FRA","12",56,"ATP",1,112,2014-08-21 13:58:37
"Fabio Fognini","ITA","15",57,"ATP",1,113,2014-08-21 13:58:37
"Andrey Golubev","KAZ",NA,57,"ATP",1,114,2014-08-21 13:58:37
"Pere Riba","ESP",NA,58,"ATP",1,115,2014-08-21 13:58:37
"Adrian Mannarino","FRA",NA,58,"ATP",1,116,2014-08-21 13:58:37
"Qualifier",NA,NA,59,"ATP",1,117,2014-08-21 13:58:37
"Tim Smyczek","USA",NA,59,"ATP",1,118,2014-08-21 13:58:37
"Andreas Haider-Maurer","AUT",NA,60,"ATP",1,119,2014-08-21 13:58:37
"Roberto Bautista Agut","ESP","17",60,"ATP",1,120,2014-08-21 13:58:37
"Ivo Karlovic","CRO","25",61,"ATP",1,121,2014-08-21 13:58:37
"Jarkko Nieminen","FIN",NA,61,"ATP",1,122,2014-08-21 13:58:37
"Jurgen Melzer","AUT",NA,62,"ATP",1,123,2014-08-21 13:58:37
"Marcel Granollers","ESP",NA,62,"ATP",1,124,2014-08-21 13:58:37
"Albert Ramos-Vinolas","ESP",NA,63,"ATP",1,125,2014-08-21 13:58:37
"Sam Groth","AUS",NA,63,"ATP",1,126,2014-08-21 13:58:37
"Marinko Matosevic","AUS",NA,64,"ATP",1,127,2014-08-21 13:58:37
"Roger Federer","SUI","2",64,"ATP",1,128,2014-08-21 13:58:37
